job_id,description_mission_anglais,categorie_mission
job_212,Detailed job description for job 212,Moving
job_213,Detailed job description for job 213,Teaching
job_214,Detailed job description for job 214,Painting
job_215,Detailed job description for job 215,Gardening
job_216,Detailed job description for job 216,Moving
job_217,Detailed job description for job 217,Pet Care
job_218,Detailed job description for job 218,Teaching
job_219,Detailed job description for job 219,Painting
job_220,Detailed job description for job 220,Cleaning
job_221,Detailed job description for job 221,Teaching
job_222,Detailed job description for job 222,Pet Care
job_223,Detailed job description for job 223,Cleaning
job_224,Detailed job description for job 224,Teaching
job_225,Detailed job description for job 225,Painting
job_226,Detailed job description for job 226,Gardening
job_227,Detailed job description for job 227,Cleaning
job_228,Detailed job description for job 228,Pet Care
job_229,Detailed job description for job 229,Teaching
job_230,Detailed job description for job 230,Cleaning
job_231,Detailed job description for job 231,Moving
job_232,Detailed job description for job 232,Gardening
job_233,Detailed job description for job 233,Pet Care
job_234,Detailed job description for job 234,Moving
job_235,Detailed job description for job 235,Moving
job_236,Detailed job description for job 236,Gardening
job_237,Detailed job description for job 237,Cleaning
job_238,Detailed job description for job 238,Cleaning
job_239,Detailed job description for job 239,Gardening
job_240,Detailed job description for job 240,Teaching
job_241,Detailed job description for job 241,Teaching
job_242,Detailed job description for job 242,Pet Care
job_243,Detailed job description for job 243,Gardening
job_244,Detailed job description for job 244,Moving
job_245,Detailed job description for job 245,Gardening
job_246,Detailed job description for job 246,Painting
job_247,Detailed job description for job 247,Moving
job_248,Detailed job description for job 248,Teaching
job_249,Detailed job description for job 249,Painting
job_250,Detailed job description for job 250,Teaching
job_251,Detailed job description for job 251,Pet Care
job_252,Detailed job description for job 252,Painting
job_253,Detailed job description for job 253,Moving
job_254,Detailed job description for job 254,Pet Care
job_255,Detailed job description for job 255,Pet Care
job_256,Detailed job description for job 256,Teaching
job_257,Detailed job description for job 257,Moving
job_258,Detailed job description for job 258,Pet Care
job_259,Detailed job description for job 259,Painting
job_260,Detailed job description for job 260,Moving
job_261,Detailed job description for job 261,Pet Care
job_262,Detailed job description for job 262,Gardening
job_263,Detailed job description for job 263,Moving
job_264,Detailed job description for job 264,Teaching
job_265,Detailed job description for job 265,Moving
job_266,Detailed job description for job 266,Moving
job_267,Detailed job description for job 267,Pet Care
job_268,Detailed job description for job 268,Teaching
job_269,Detailed job description for job 269,Pet Care
job_270,Detailed job description for job 270,Gardening
job_271,Detailed job description for job 271,Moving
job_272,Detailed job description for job 272,Teaching
job_273,Detailed job description for job 273,Pet Care
job_274,Detailed job description for job 274,Gardening
job_275,Detailed job description for job 275,Painting
job_276,Detailed job description for job 276,Cleaning
job_277,Detailed job description for job 277,Pet Care
job_278,Detailed job description for job 278,Painting
job_279,Detailed job description for job 279,Teaching
job_280,Detailed job description for job 280,Teaching
job_281,Detailed job description for job 281,Pet Care
job_282,Detailed job description for job 282,Gardening
job_283,Detailed job description for job 283,Moving
job_284,Detailed job description for job 284,Gardening
job_285,Detailed job description for job 285,Teaching
job_286,Detailed job description for job 286,Pet Care
job_287,Detailed job description for job 287,Gardening
job_288,Detailed job description for job 288,Cleaning
job_289,Detailed job description for job 289,Moving
job_290,Detailed job description for job 290,Teaching
job_291,Detailed job description for job 291,Gardening
job_292,Detailed job description for job 292,Pet Care
job_293,Detailed job description for job 293,Pet Care
job_294,Detailed job description for job 294,Gardening
job_295,Detailed job description for job 295,Cleaning
job_296,Detailed job description for job 296,Pet Care
job_297,Detailed job description for job 297,Pet Care
job_298,Detailed job description for job 298,Pet Care
job_299,Detailed job description for job 299,Pet Care
job_300,Detailed job description for job 300,Moving
job_301,Detailed job description for job 301,Painting
job_302,Detailed job description for job 302,Pet Care
job_303,Detailed job description for job 303,Pet Care
job_304,Detailed job description for job 304,Pet Care
job_305,Detailed job description for job 305,Moving
job_306,Detailed job description for job 306,Teaching
job_307,Detailed job description for job 307,Painting
job_308,Detailed job description for job 308,Painting
job_309,Detailed job description for job 309,Cleaning
job_310,Detailed job description for job 310,Gardening
job_311,Detailed job description for job 311,Teaching
job_312,Detailed job description for job 312,Gardening
job_313,Detailed job description for job 313,Teaching
job_314,Detailed job description for job 314,Moving
job_315,Detailed job description for job 315,Moving
job_316,Detailed job description for job 316,Painting
job_317,Detailed job description for job 317,Pet Care
job_318,Detailed job description for job 318,Cleaning
job_319,Detailed job description for job 319,Teaching
job_320,Detailed job description for job 320,Pet Care
job_321,Detailed job description for job 321,Moving
job_322,Detailed job description for job 322,Painting
job_323,Detailed job description for job 323,Painting
job_324,Detailed job description for job 324,Painting
job_325,Detailed job description for job 325,Cleaning
job_326,Detailed job description for job 326,Gardening
job_327,Detailed job description for job 327,Moving
job_328,Detailed job description for job 328,Cleaning
job_329,Detailed job description for job 329,Painting
job_330,Detailed job description for job 330,Pet Care
job_331,Detailed job description for job 331,Pet Care
job_332,Detailed job description for job 332,Moving
job_333,Detailed job description for job 333,Painting
job_334,Detailed job description for job 334,Gardening
job_335,Detailed job description for job 335,Gardening
job_336,Detailed job description for job 336,Painting
job_337,Detailed job description for job 337,Cleaning
job_338,Detailed job description for job 338,Moving
job_339,Detailed job description for job 339,Moving
job_340,Detailed job description for job 340,Moving
job_341,Detailed job description for job 341,Moving
job_342,Detailed job description for job 342,Moving
job_343,Detailed job description for job 343,Moving
job_344,Detailed job description for job 344,Moving
job_345,Detailed job description for job 345,Moving
job_346,Detailed job description for job 346,Pet Care
job_347,Detailed job description for job 347,Teaching
job_348,Detailed job description for job 348,Gardening
job_349,Detailed job description for job 349,Painting
job_350,Detailed job description for job 350,Pet Care
job_351,Detailed job description for job 351,Moving
job_352,Detailed job description for job 352,Cleaning
job_353,Detailed job description for job 353,Gardening
job_354,Detailed job description for job 354,Teaching
job_355,Detailed job description for job 355,Painting
job_356,Detailed job description for job 356,Moving
job_357,Detailed job description for job 357,Moving
job_358,Detailed job description for job 358,Moving
job_359,Detailed job description for job 359,Cleaning
job_360,Detailed job description for job 360,Cleaning
job_361,Detailed job description for job 361,Cleaning
job_362,Detailed job description for job 362,Pet Care
job_363,Detailed job description for job 363,Painting
job_364,Detailed job description for job 364,Cleaning
job_365,Detailed job description for job 365,Gardening
job_366,Detailed job description for job 366,Pet Care
job_367,Detailed job description for job 367,Gardening
job_368,Detailed job description for job 368,Moving
job_369,Detailed job description for job 369,Teaching
job_370,Detailed job description for job 370,Cleaning
job_371,Detailed job description for job 371,Cleaning
job_372,Detailed job description for job 372,Cleaning
job_373,Detailed job description for job 373,Painting
job_374,Detailed job description for job 374,Teaching
job_375,Detailed job description for job 375,Painting
job_376,Detailed job description for job 376,Cleaning
job_377,Detailed job description for job 377,Cleaning
job_378,Detailed job description for job 378,Cleaning
job_379,Detailed job description for job 379,Painting
job_380,Detailed job description for job 380,Moving
job_381,Detailed job description for job 381,Gardening
job_382,Detailed job description for job 382,Painting
job_383,Detailed job description for job 383,Moving
job_384,Detailed job description for job 384,Teaching
job_385,Detailed job description for job 385,Cleaning
job_386,Detailed job description for job 386,Gardening
job_387,Detailed job description for job 387,Moving
job_388,Detailed job description for job 388,Cleaning
job_389,Detailed job description for job 389,Painting
job_390,Detailed job description for job 390,Moving
job_391,Detailed job description for job 391,Pet Care
job_392,Detailed job description for job 392,Gardening
job_393,Detailed job description for job 393,Painting
job_394,Detailed job description for job 394,Painting
job_395,Detailed job description for job 395,Pet Care
job_396,Detailed job description for job 396,Moving
job_397,Detailed job description for job 397,Gardening
job_398,Detailed job description for job 398,Painting
job_399,Detailed job description for job 399,Teaching
job_400,Detailed job description for job 400,Gardening
job_401,Detailed job description for job 401,Cleaning
job_402,Detailed job description for job 402,Painting
job_403,Detailed job description for job 403,Painting
job_404,Detailed job description for job 404,Teaching
job_405,Detailed job description for job 405,Painting
job_406,Detailed job description for job 406,Moving
job_407,Detailed job description for job 407,Pet Care
job_408,Detailed job description for job 408,Painting
job_409,Detailed job description for job 409,Pet Care
job_410,Detailed job description for job 410,Cleaning
job_411,Detailed job description for job 411,Gardening
job_412,Detailed job description for job 412,Cleaning
job_413,Detailed job description for job 413,Gardening
job_414,Detailed job description for job 414,Moving
job_415,Detailed job description for job 415,Cleaning
job_416,Detailed job description for job 416,Pet Care
job_417,Detailed job description for job 417,Cleaning
job_418,Detailed job description for job 418,Cleaning
job_419,Detailed job description for job 419,Pet Care
job_420,Detailed job description for job 420,Cleaning
job_421,Detailed job description for job 421,Gardening
job_422,Detailed job description for job 422,Painting
job_423,Detailed job description for job 423,Pet Care
job_424,Detailed job description for job 424,Painting
job_425,Detailed job description for job 425,Teaching
job_426,Detailed job description for job 426,Pet Care
job_427,Detailed job description for job 427,Gardening
job_428,Detailed job description for job 428,Cleaning
job_429,Detailed job description for job 429,Moving
job_430,Detailed job description for job 430,Moving
job_431,Detailed job description for job 431,Gardening
job_432,Detailed job description for job 432,Gardening
job_433,Detailed job description for job 433,Teaching
job_434,Detailed job description for job 434,Gardening
job_435,Detailed job description for job 435,Moving
job_436,Detailed job description for job 436,Painting
job_437,Detailed job description for job 437,Teaching
job_438,Detailed job description for job 438,Cleaning
job_439,Detailed job description for job 439,Moving
job_440,Detailed job description for job 440,Gardening
job_441,Detailed job description for job 441,Cleaning
job_442,Detailed job description for job 442,Teaching
job_443,Detailed job description for job 443,Painting
job_444,Detailed job description for job 444,Cleaning
job_445,Detailed job description for job 445,Cleaning
job_446,Detailed job description for job 446,Pet Care
job_447,Detailed job description for job 447,Painting
job_448,Detailed job description for job 448,Cleaning
job_449,Detailed job description for job 449,Teaching
job_450,Detailed job description for job 450,Gardening
job_451,Detailed job description for job 451,Gardening
job_452,Detailed job description for job 452,Painting
job_453,Detailed job description for job 453,Pet Care
job_454,Detailed job description for job 454,Teaching
job_455,Detailed job description for job 455,Moving
job_456,Detailed job description for job 456,Teaching
job_457,Detailed job description for job 457,Cleaning
job_458,Detailed job description for job 458,Painting
job_459,Detailed job description for job 459,Painting
job_460,Detailed job description for job 460,Pet Care
job_461,Detailed job description for job 461,Cleaning
job_462,Detailed job description for job 462,Pet Care
job_463,Detailed job description for job 463,Gardening
job_464,Detailed job description for job 464,Gardening
job_465,Detailed job description for job 465,Pet Care
job_466,Detailed job description for job 466,Gardening
job_467,Detailed job description for job 467,Moving
job_468,Detailed job description for job 468,Moving
job_469,Detailed job description for job 469,Pet Care
job_470,Detailed job description for job 470,Cleaning
job_471,Detailed job description for job 471,Moving
job_472,Detailed job description for job 472,Moving
job_473,Detailed job description for job 473,Moving
job_474,Detailed job description for job 474,Pet Care
job_475,Detailed job description for job 475,Painting
job_476,Detailed job description for job 476,Gardening
job_477,Detailed job description for job 477,Gardening
job_478,Detailed job description for job 478,Painting
job_479,Detailed job description for job 479,Moving
job_480,Detailed job description for job 480,Painting
job_481,Detailed job description for job 481,Gardening
job_482,Detailed job description for job 482,Moving
job_483,Detailed job description for job 483,Painting
job_484,Detailed job description for job 484,Moving
job_485,Detailed job description for job 485,Moving
job_486,Detailed job description for job 486,Moving
job_487,Detailed job description for job 487,Painting
job_488,Detailed job description for job 488,Pet Care
job_489,Detailed job description for job 489,Cleaning
job_490,Detailed job description for job 490,Pet Care
job_491,Detailed job description for job 491,Pet Care
job_492,Detailed job description for job 492,Teaching
job_493,Detailed job description for job 493,Pet Care
job_494,Detailed job description for job 494,Teaching
job_495,Detailed job description for job 495,Pet Care
job_496,Detailed job description for job 496,Pet Care
job_497,Detailed job description for job 497,Painting
job_498,Detailed job description for job 498,Gardening
job_499,Detailed job description for job 499,Gardening
