user_id,user_type,location_id,selected_category_ids
prof_0150,professional,2,93;95
prof_0151,professional,14,38
prof_0152,professional,5,96;97;98;99
prof_0153,professional,15,18;19;20;22;23
prof_0154,professional,10,25;26;27;28;31
prof_0155,professional,9,84;87;90
prof_0156,professional,9,3;4;6
prof_0157,professional,12,28;30;32;33
prof_0158,professional,2,77
prof_0159,professional,13,2;3;5
prof_0160,professional,15,27;28;31
prof_0161,professional,13,30;33
prof_0162,professional,2,59;62
prof_0163,professional,9,29;30;31;34
prof_0164,professional,2,55;56;58
prof_0165,professional,1,35;36
prof_0166,professional,11,77;79
prof_0167,professional,1,10;13
prof_0168,professional,8,92;94;95;96
prof_0169,professional,12,15;17;19
prof_0170,professional,9,47;48;49;50;51
prof_0171,professional,11,50;52;53;54;56
prof_0172,professional,4,26;28
prof_0173,professional,6,22;23;25
prof_0174,professional,9,57;58
prof_0175,professional,12,23;25;26;28
prof_0176,professional,11,53;55
prof_0177,professional,15,87;90;92;93
prof_0178,professional,10,48;49;50;51
prof_0179,professional,6,41;43;44;45
prof_0180,professional,11,80;81;83
prof_0181,professional,11,86;87;88
prof_0182,professional,8,21;22;25
prof_0183,professional,9,5
prof_0184,professional,5,65;66;68
prof_0185,professional,13,59;61;63
prof_0186,professional,9,77;78;80
prof_0187,professional,7,56;57;59;62
prof_0188,professional,13,18;20
prof_0189,professional,15,68
prof_0190,professional,2,92;93;95
prof_0191,professional,7,87
prof_0192,professional,3,54
prof_0193,professional,5,21
prof_0194,professional,1,14
prof_0195,professional,13,9;12
prof_0196,professional,12,39
prof_0197,professional,9,15;17;18
prof_0198,professional,1,19;21;22;23
prof_0199,professional,5,19
prof_0200,professional,2,59
prof_0201,professional,3,39;42
prof_0202,professional,2,40;42;43
prof_0203,professional,14,94
prof_0204,professional,1,73;75;76
prof_0205,professional,7,46;48;50
prof_0206,professional,7,4;5;7;10
prof_0207,professional,3,21;22;23;25;26
prof_0208,professional,11,83;85;86;87
prof_0209,professional,1,78
prof_0210,professional,10,68;70
prof_0211,professional,10,6;7;9;12
prof_0212,professional,7,4;6;8
prof_0213,professional,10,45;47;48
prof_0214,professional,1,65
prof_0215,professional,14,34;35;36
prof_0216,professional,3,10;13;14
prof_0217,professional,5,2;3;4
prof_0218,professional,15,59;60;62
prof_0219,professional,7,9;10;13
prof_0220,professional,8,73
prof_0221,professional,14,42;44;46;47
prof_0222,professional,9,45;48
prof_0223,professional,12,90
prof_0224,professional,8,50
prof_0225,professional,9,90;91;92;93
prof_0226,professional,15,53
prof_0227,professional,11,32;33
prof_0228,professional,15,91;93;94;96;97
prof_0229,professional,14,56;57;59
prof_0230,professional,9,4
prof_0231,professional,11,4;5;6;7
prof_0232,professional,11,47;48;49;50
prof_0233,professional,10,21;24;27
prof_0234,professional,1,81;82;84;85;87
prof_0235,professional,4,90;91;92;94
prof_0236,professional,11,2
prof_0237,professional,8,6;8;9
prof_0238,professional,7,71
prof_0239,professional,4,47
prof_0240,professional,15,96;99
prof_0241,professional,15,73;76;77
prof_0242,professional,1,97
prof_0243,professional,15,36;38;39
prof_0244,professional,4,80;81;84
prof_0245,professional,13,61
prof_0246,professional,1,87;88;89;92
prof_0247,professional,4,48;50;51;52;53
prof_0248,professional,10,1;4
prof_0249,professional,15,2;4;5
prof_0250,professional,7,42;43;45;47
prof_0251,professional,3,11
prof_0252,professional,10,39
prof_0253,professional,14,55;56;58
prof_0254,professional,3,31;33;35
prof_0255,professional,13,3;5
prof_0256,professional,10,48;49;50;53
prof_0257,professional,10,90
prof_0258,professional,8,14;15;16;18
prof_0259,professional,3,84;85
prof_0260,professional,8,64;65;66
prof_0261,professional,7,58;60
prof_0262,professional,13,1;3;4;5
prof_0263,professional,3,7
prof_0264,professional,1,10;11;13
prof_0265,professional,11,84;85;86;87
prof_0266,professional,1,44;46;48
prof_0267,professional,12,66;68;70;71
prof_0268,professional,9,80
prof_0269,professional,7,76
prof_0270,professional,11,67
prof_0271,professional,8,20;21;24
prof_0272,professional,14,52;53;55
prof_0273,professional,2,65;66;67;68
prof_0274,professional,12,34;37
prof_0275,professional,6,3;5;6;8
prof_0276,professional,7,64
prof_0277,professional,6,57
prof_0278,professional,3,29;30;32;33;35
prof_0279,professional,3,33;35;38
prof_0280,professional,10,59;60;61;63
prof_0281,professional,11,40;42;44
prof_0282,professional,11,37;38;39;40;41
prof_0283,professional,3,84;86;87;88;90
prof_0284,professional,10,55;56;57;59
prof_0285,professional,7,51;54
prof_0286,professional,13,63;65;66
prof_0287,professional,6,15;17
prof_0288,professional,11,73;75;76
prof_0289,professional,7,66;67
prof_0290,professional,5,78;80;81
prof_0291,professional,1,68;71;73;74
prof_0292,professional,8,74
prof_0293,professional,1,43;46;47;49
prof_0294,professional,9,18;20;21
prof_0295,professional,11,66;67;69;71;72
prof_0296,professional,6,14;15;17
prof_0297,professional,5,57;60;61;63
prof_0298,professional,13,17
prof_0299,professional,12,89;92
prof_0300,professional,4,16;17;19
prof_0301,professional,7,27;29;30
prof_0302,professional,15,42
prof_0303,professional,2,83;85;86;88
prof_0304,professional,7,21;24
prof_0305,professional,2,45
prof_0306,professional,8,52
prof_0307,professional,13,17;20
prof_0308,professional,5,16;19
prof_0309,professional,13,44;45
prof_0310,professional,2,3;5;6;7;8
prof_0311,professional,14,36;38;39
prof_0312,professional,7,74;75;77;78;79
prof_0313,professional,7,76;79;81
prof_0314,professional,12,56;57
prof_0315,professional,13,37;39;40
prof_0316,professional,1,16;19;22
prof_0317,professional,15,12;15
prof_0318,professional,11,50
prof_0319,professional,10,97;99;100
prof_0320,professional,7,6;7
prof_0321,professional,12,5;6
prof_0322,professional,6,48;49
prof_0323,professional,5,72;75;76
prof_0324,professional,12,57;59;60
prof_0325,professional,2,55;57
prof_0326,professional,13,20;21;24
prof_0327,professional,1,20;22;23;26
prof_0328,professional,12,47;49;51;52
prof_0329,professional,9,38;39;41;43
prof_0330,professional,15,83;84;86
prof_0331,professional,2,3;6;8
prof_0332,professional,7,56;59;61
prof_0333,professional,4,82;85;88
prof_0334,professional,12,45;47
prof_0335,professional,2,86;87;88;89
prof_0336,professional,6,86;88;89
prof_0337,professional,9,14;16;17;18
prof_0338,professional,8,85;86
prof_0339,professional,12,97;100
prof_0340,professional,4,6
prof_0341,professional,8,21;22;24;25
prof_0342,professional,7,3;4;7
prof_0343,professional,6,84;86;87
prof_0344,professional,10,50;53
prof_0345,professional,11,83;84;86
prof_0346,professional,3,26;28
prof_0347,professional,7,9;10;11;12
prof_0348,professional,10,55;58
prof_0349,professional,2,1;4
prof_0350,professional,1,92;93
prof_0351,professional,4,52;54;56;57
prof_0352,professional,8,31;32
prof_0353,professional,1,41;43
prof_0354,professional,8,15;16;17
prof_0355,professional,14,41;42;43
prof_0356,professional,14,74
prof_0357,professional,13,51
prof_0358,professional,5,25
prof_0359,professional,12,19;20;21;23
prof_0360,professional,9,24;25
prof_0361,professional,5,58;60;61;62
prof_0362,professional,1,16;17;18;20
prof_0363,professional,11,39;40
prof_0364,professional,14,70;72
prof_0365,professional,9,67;70;71;73
prof_0366,professional,7,14;17;18;20
prof_0367,professional,9,41;42;44;45;46
prof_0368,professional,6,55;57;58;59
prof_0369,professional,10,45;46;48;50
prof_0370,professional,1,42;43;45;46;47
prof_0371,professional,3,89
prof_0372,professional,3,20
prof_0373,professional,4,44
prof_0374,professional,9,1;2;3;4
prof_0375,professional,14,11;12
prof_0376,professional,2,68;70;71;72
prof_0377,professional,12,37
prof_0378,professional,14,30;31;32;33
prof_0379,professional,4,53;56;57;58
prof_0380,professional,7,44;45;46;48
prof_0381,professional,9,24;25;26
prof_0382,professional,3,63;65
prof_0383,professional,15,88;89;90
prof_0384,professional,10,72;74;75
prof_0385,professional,5,25;28
prof_0386,professional,14,10;11;13
prof_0387,professional,13,16;19
prof_0388,professional,14,88
prof_0389,professional,4,46;49;50
prof_0390,professional,5,89;90
prof_0391,professional,1,66;67;68;69
prof_0392,professional,4,71;74
prof_0393,professional,13,79;80;81
prof_0394,professional,5,83;84;86
prof_0395,professional,14,73;74;75
prof_0396,professional,9,30;32
prof_0397,professional,15,4;6;9
prof_0398,professional,6,30;32
prof_0399,professional,14,48
prof_0400,professional,9,30
prof_0401,professional,4,32;35;36
prof_0402,professional,8,27
prof_0403,professional,12,27;29;30;31;32
prof_0404,professional,5,35;37;39
prof_0405,professional,10,1;3;4
prof_0406,professional,6,63;66
prof_0407,professional,5,57
prof_0408,professional,5,63;65;68
prof_0409,professional,5,96;99
prof_0410,professional,13,1;2
prof_0411,professional,3,40;42
prof_0412,professional,8,97;99;100
prof_0413,professional,5,15;17
prof_0414,professional,4,58;60
prof_0415,professional,14,32;34;36
prof_0416,professional,13,2;4;5
prof_0417,professional,7,38;39;40;41
prof_0418,professional,6,72
prof_0419,professional,1,48;49;50;52
prof_0420,professional,5,3;5
prof_0421,professional,12,78;79;81;82
prof_0422,professional,10,80
prof_0423,professional,15,17;18
prof_0424,professional,7,2
prof_0425,professional,3,85
prof_0426,professional,14,52;54;55
prof_0427,professional,15,24;27;28;30
prof_0428,professional,8,85;87;88;90
prof_0429,professional,11,60;62
prof_0430,professional,3,4;6
prof_0431,professional,8,81
prof_0432,professional,4,31;32;34
prof_0433,professional,4,47;48;49;50
prof_0434,professional,12,43
prof_0435,professional,12,11;12;14
prof_0436,professional,2,90
prof_0437,professional,3,2;3;5;8
prof_0438,professional,9,6;8;9;11
prof_0439,professional,7,54;57;58;60
prof_0440,professional,3,89;92;93;94
prof_0441,professional,13,83;85
prof_0442,professional,15,30;31
prof_0443,professional,5,65;68;69;71
prof_0444,professional,3,50;52;53
prof_0445,professional,4,21;23;24;25;27
prof_0446,professional,5,8;9;11
prof_0447,professional,13,11;12;13;14
prof_0448,professional,7,72;74;75
prof_0449,professional,10,81;83;85
prof_0450,professional,13,95;96
prof_0451,professional,8,17;19;20;21
prof_0452,professional,9,65;66;67;70
prof_0453,professional,13,26;28
prof_0454,professional,9,41;44;45
prof_0455,professional,6,35;36
prof_0456,professional,5,7
prof_0457,professional,7,38;39;40;41
prof_0458,professional,9,56;58
prof_0459,professional,1,86;87;88;89
prof_0460,professional,12,27
prof_0461,professional,12,53;55;56;58
prof_0462,professional,3,80;81;83;85;86
prof_0463,professional,7,94
prof_0464,professional,7,30;31;32;33;36
prof_0465,professional,13,89;91;92;93
prof_0466,professional,6,28;30;31;32
prof_0467,professional,13,75
prof_0468,professional,3,71
prof_0469,professional,14,35
prof_0470,professional,10,59;61
prof_0471,professional,2,31
prof_0472,professional,7,52
prof_0473,professional,4,19;20
prof_0474,professional,2,82;84;85;87
prof_0475,professional,5,31;33;34;35;37
prof_0476,professional,8,94;95;97;99
prof_0477,professional,2,65;66;68
prof_0478,professional,7,16;18;19
prof_0479,professional,12,49;50
prof_0480,professional,10,48;50
prof_0481,professional,9,70;72;73
prof_0482,professional,8,36;38
prof_0483,professional,8,63;64;65;67
prof_0484,professional,8,10;12
prof_0485,professional,10,40;41;42;44
prof_0486,professional,9,65;67;68
prof_0487,professional,7,20;21
prof_0488,professional,8,18;19
prof_0489,professional,10,51;52;54
prof_0490,professional,13,15
prof_0491,professional,11,80;81
prof_0492,professional,6,54;55;57;59;60
prof_0493,professional,12,43;46
prof_0494,professional,5,55;57
prof_0495,professional,3,15;16;17;18
prof_0496,professional,8,42;43
prof_0497,professional,2,38;39;40;42
prof_0498,professional,7,62;63;64;65;68
prof_0499,professional,3,88;89;91;93
prof_0500,professional,13,78;80;81;83;84
prof_0501,professional,1,55
prof_0502,professional,6,39;41;42;44
prof_0503,professional,13,79;82
prof_0504,professional,6,65;66
prof_0505,professional,13,17
prof_0506,professional,14,62;64;67
prof_0507,professional,10,17;18;19;20
prof_0508,professional,15,60;61;63;64
prof_0509,professional,6,35;36;39
prof_0510,professional,3,79;82;84
prof_0511,professional,13,10;11;14
prof_0512,professional,11,41;42;43
prof_0513,professional,15,40;41;42;44
prof_0514,professional,6,63;65;66
prof_0515,professional,3,92;94
prof_0516,professional,4,58
prof_0517,professional,8,82;84
prof_0518,professional,14,20
prof_0519,professional,15,24;25
prof_0520,professional,7,77
prof_0521,professional,12,25;26
prof_0522,professional,15,19;20;21;22
prof_0523,professional,13,32;33;34;35
prof_0524,professional,8,87;88;89;90
prof_0525,professional,9,68;71;74
prof_0526,professional,3,17;18;19;20
prof_0527,professional,10,89;90;93
prof_0528,professional,6,60;62;63
prof_0529,professional,6,4;5;7
prof_0530,professional,8,7;8
prof_0531,professional,10,19;20;22
prof_0532,professional,8,67
prof_0533,professional,2,52;53;54;57
prof_0534,professional,15,17;18;19;20
prof_0535,professional,14,82;85;88
prof_0536,professional,8,63;66
prof_0537,professional,7,13;14;16;17
prof_0538,professional,2,54;55
prof_0539,professional,4,40;41;42
prof_0540,professional,6,30;33;36
prof_0541,professional,13,29;30
prof_0542,professional,12,4;7
prof_0543,professional,2,85;87
prof_0544,professional,3,24;25;26;27;28
prof_0545,professional,6,13;14;15
prof_0546,professional,7,91
prof_0547,professional,4,60;61
prof_0548,professional,3,89;90;92;93
prof_0549,professional,15,30;32;33
prof_0550,professional,12,93;94;95;96;97
prof_0551,professional,7,50
prof_0552,professional,6,41;43;44;46
prof_0553,professional,9,77;79;80;83
prof_0554,professional,2,37;38;40;42
prof_0555,professional,6,85;87;89
prof_0556,professional,15,48;49;52
prof_0557,professional,14,84;85;86;87
prof_0558,professional,14,42;43;45
prof_0559,professional,5,76;77;80
prof_0560,professional,11,14
prof_0561,professional,10,69
prof_0562,professional,12,43;45;46
prof_0563,professional,15,32
prof_0564,professional,15,81;83;84;85;86
prof_0565,professional,14,14;15;17
prof_0566,professional,6,80;82;83;86
prof_0567,professional,6,40;43;46
prof_0568,professional,5,28;30
prof_0569,professional,8,77
prof_0570,professional,5,19;20
prof_0571,professional,9,84;85;87;89
prof_0572,professional,6,3;6
prof_0573,professional,8,87;88
prof_0574,professional,9,70;71;72
prof_0575,professional,2,68;71;73;74
prof_0576,professional,7,29;31;32;33
prof_0577,professional,8,23
prof_0578,professional,11,16;19;20;21
prof_0579,professional,15,53;55;56
prof_0580,professional,2,33;35;36
prof_0581,professional,7,99;100
prof_0582,professional,10,31;32;34
prof_0583,professional,6,4;6
prof_0584,professional,6,85;87;88;89;90
prof_0585,professional,12,43;44;45
prof_0586,professional,6,42;44;45
prof_0587,professional,10,66;68
prof_0588,professional,7,6;7;8
prof_0589,professional,14,41;43;44;45
prof_0590,professional,1,11;13
prof_0591,professional,8,38;40;41
prof_0592,professional,4,9;10
prof_0593,professional,14,73
prof_0594,professional,5,58;59
prof_0595,professional,11,25;27
prof_0596,professional,11,52;54
prof_0597,professional,6,13;14;15
prof_0598,professional,15,96
prof_0599,professional,15,45
prof_0600,professional,11,67;68
prof_0601,professional,4,74;75;76;77
prof_0602,professional,6,58;59;61
prof_0603,professional,2,24
prof_0604,professional,15,82;84;86
prof_0605,professional,14,43;46;48
prof_0606,professional,2,62;63;64;65;66
prof_0607,professional,13,33;36
prof_0608,professional,12,27;28;29
prof_0609,professional,6,59
prof_0610,professional,6,100
prof_0611,professional,10,27;28;31
prof_0612,professional,2,30;32
prof_0613,professional,1,73;75;76
prof_0614,professional,3,88;90
prof_0615,professional,15,56;58;59
prof_0616,professional,8,35
prof_0617,professional,11,94;95;96
prof_0618,professional,8,29
prof_0619,professional,1,30;32
prof_0620,professional,7,76;77;79
prof_0621,professional,15,20;23
prof_0622,professional,15,29;31;34
prof_0623,professional,12,28;30;31
prof_0624,professional,4,22;25
prof_0625,professional,6,44;47;49
prof_0626,professional,5,25;26;28
prof_0627,professional,2,25;27;30
prof_0628,professional,3,72;73;75;76
prof_0629,professional,9,65;66
prof_0630,professional,3,79;81;82
prof_0631,professional,11,21;22
prof_0632,professional,4,99
prof_0633,professional,6,7;8;10
prof_0634,professional,4,46;47
prof_0635,professional,7,93;96;98
prof_0636,professional,2,38;39
prof_0637,professional,9,72;74;75
prof_0638,professional,9,9;10
prof_0639,professional,6,93;94;96;98
prof_0640,professional,3,80;81
prof_0641,professional,6,33;36
prof_0642,professional,9,28;30;31
prof_0643,professional,11,96;97;98;99
prof_0644,professional,7,54;56;57;59
prof_0645,professional,4,8;9;11
prof_0646,professional,4,28;29;31;32;34
prof_0647,professional,5,38;40;41
prof_0648,professional,8,1
prof_0649,professional,5,51;53
prof_0650,professional,12,34;36
prof_0651,professional,8,22
prof_0652,professional,10,57;60
prof_0653,professional,15,13;16
prof_0654,professional,11,41;42
prof_0655,professional,8,49;50;51;54
prof_0656,professional,7,77;78;79;80
prof_0657,professional,15,76;77
prof_0658,professional,1,64
prof_0659,professional,2,57;58;60;61;62
prof_0660,professional,14,48;51
prof_0661,professional,9,3;4;5;8
prof_0662,professional,1,30;33
prof_0663,professional,14,37
prof_0664,professional,5,34
prof_0665,professional,5,53;56;57
prof_0666,professional,10,68;69;71;72
prof_0667,professional,4,54;55;57
prof_0668,professional,4,21
prof_0669,professional,5,41;43;44
prof_0670,professional,7,78;80;81;84
prof_0671,professional,3,90;92;95
prof_0672,professional,13,50;52;53;55
prof_0673,professional,2,48
prof_0674,professional,7,69;71
prof_0675,professional,15,90;93
prof_0676,professional,13,20;23
prof_0677,professional,3,38;39;41;44
prof_0678,professional,8,64;66
prof_0679,professional,1,32;34;35;36;37
prof_0680,professional,12,1;3;4;5;6
prof_0681,professional,4,54;56;59
prof_0682,professional,3,22;24;25;27;28
prof_0683,professional,15,88;89;91
prof_0684,professional,10,1;2;3;4
prof_0685,professional,2,8;10;11;13
prof_0686,professional,3,27;30
prof_0687,professional,5,1;2;3
prof_0688,professional,12,93;95
prof_0689,professional,1,32;33;34
prof_0690,professional,1,93;96
prof_0691,professional,14,25
prof_0692,professional,10,84;86;88
prof_0693,professional,3,31;32;33;34
prof_0694,professional,8,97;98
prof_0695,professional,10,93
prof_0696,professional,10,92;94;95;96
prof_0697,professional,5,27
prof_0698,professional,7,1;3
prof_0699,professional,8,53;55;56
prof_0700,professional,15,8;10
prof_0701,professional,14,96;97;98
prof_0702,professional,7,60;63;65
prof_0703,professional,6,5;6;7;9;10
prof_0704,professional,11,39;42;44;45
prof_0705,professional,15,64;65;66;67;68
prof_0706,professional,7,9;12
prof_0707,professional,15,38;39
prof_0708,professional,7,6;9;10
prof_0709,professional,11,70;71;72;73
prof_0710,professional,1,79;82
prof_0711,professional,5,46;49
prof_0712,professional,7,15;16
prof_0713,professional,4,3;4;5
prof_0714,professional,6,98;99
prof_0715,professional,15,78
prof_0716,professional,14,72;74;75;76
prof_0717,professional,2,21;22;23;24
prof_0718,professional,2,64
prof_0719,professional,11,34
prof_0720,professional,8,98
prof_0721,professional,13,49;50;51;52
prof_0722,professional,4,3;4;5
prof_0723,professional,1,68
prof_0724,professional,1,91
prof_0725,professional,13,85;88
prof_0726,professional,14,13;15;16;18
prof_0727,professional,7,20;21;22;23
prof_0728,professional,15,25;26
prof_0729,professional,2,30;31;33;35
prof_0730,professional,1,31;34;35
prof_0731,professional,9,94;95;97
prof_0732,professional,13,53;55;57;58
prof_0733,professional,5,57
prof_0734,professional,14,36;37;39;40
prof_0735,professional,9,67
prof_0736,professional,1,90;92;93;95
prof_0737,professional,11,48
prof_0738,professional,9,8;9;10;11
prof_0739,professional,9,75;77;79
prof_0740,professional,4,85;86;88;89
prof_0741,professional,4,35
prof_0742,professional,14,17;18
prof_0743,professional,10,53;54;55;57;58
prof_0744,professional,7,44;46;47;48;49
prof_0745,professional,13,3
prof_0746,professional,4,85;87;88
prof_0747,professional,13,61
prof_0748,professional,2,2;3;5
prof_0749,professional,13,17;19;20;23
prof_0750,professional,7,12;13;14
prof_0751,professional,8,46
prof_0752,professional,1,27;30;32;33
prof_0753,professional,11,68
prof_0754,professional,8,82;85
prof_0755,professional,4,85;87
prof_0756,professional,10,68;69;70;71;72
prof_0757,professional,14,26;27;29;30
prof_0758,professional,1,71;72
prof_0759,professional,8,6;7
prof_0760,professional,10,96;98
prof_0761,professional,2,89;90
prof_0762,professional,10,91;93
prof_0763,professional,4,42;43;45
prof_0764,professional,12,21
prof_0765,professional,11,69;70;71;72;75
prof_0766,professional,6,48
prof_0767,professional,8,1
prof_0768,professional,1,57;60;61;62
prof_0769,professional,3,62
prof_0770,professional,15,21
prof_0771,professional,6,19;20;21;23
prof_0772,professional,1,75;76;78
prof_0773,professional,13,8;9;12
prof_0774,professional,3,86;87
prof_0775,professional,14,61;64
prof_0776,professional,10,18;20;21;22
prof_0777,professional,11,9
prof_0778,professional,2,88
prof_0779,professional,5,41;42;43;44
prof_0780,professional,13,92;94;95
prof_0781,professional,6,4;5
prof_0782,professional,13,98;100
prof_0783,professional,4,59;62
prof_0784,professional,1,36;37;38
prof_0785,professional,1,46;48;49
prof_0786,professional,4,5;6
prof_0787,professional,2,82;84
prof_0788,professional,3,33;35;36
prof_0789,professional,13,91;92;94
prof_0790,professional,9,77;79
prof_0791,professional,2,34;36
prof_0792,professional,6,81;83
prof_0793,professional,4,77;78;79;80
prof_0794,professional,3,15;17;18;19;20
prof_0795,professional,8,67;69
prof_0796,professional,7,16;19;22
prof_0797,professional,8,44;46;47
prof_0798,professional,1,64
prof_0799,professional,1,27;28
prof_0800,professional,7,22;23;24;25
prof_0801,professional,13,24;26
prof_0802,professional,6,99
prof_0803,professional,3,10;11
prof_0804,professional,11,10;12;13;16
prof_0805,professional,12,7;10
prof_0806,professional,8,80;82;84;85
prof_0807,professional,1,48;49
prof_0808,professional,3,3;4
prof_0809,professional,15,93
prof_0810,professional,13,31;32
prof_0811,professional,5,79;81;82
prof_0812,professional,15,96;97;98;99
prof_0813,professional,15,4;6;7
prof_0814,professional,6,70;72;73;74;76
prof_0815,professional,11,41;42;44
prof_0816,professional,14,58
prof_0817,professional,10,16;17
prof_0818,professional,13,72
prof_0819,professional,13,22;23;26
prof_0820,professional,3,30;32;33;34;36
prof_0821,professional,6,78;79;80;81
prof_0822,professional,6,82;85
prof_0823,professional,2,79;81;83
prof_0824,professional,6,54;56;57
prof_0825,professional,13,22;23
prof_0826,professional,14,77;78;79
prof_0827,professional,13,2;4
prof_0828,professional,6,37;38;41
prof_0829,professional,8,28
prof_0830,professional,6,56
prof_0831,professional,5,23;24;27
prof_0832,professional,7,25
prof_0833,professional,14,84
prof_0834,professional,8,49
prof_0835,professional,3,34;36;37
prof_0836,professional,8,21
prof_0837,professional,11,99;100
prof_0838,professional,8,96;97
prof_0839,professional,1,52
prof_0840,professional,10,83;85;86;87;88
prof_0841,professional,15,10;11
prof_0842,professional,15,42;43
prof_0843,professional,5,49;51;52;53
prof_0844,professional,11,16;18;19
prof_0845,professional,13,45
prof_0846,professional,4,88
prof_0847,professional,11,51
prof_0848,professional,7,82;84;85
prof_0849,professional,8,54
prof_0850,professional,12,62;64;65
prof_0851,professional,9,33;34
prof_0852,professional,5,65;66;67
prof_0853,professional,3,69;71
prof_0854,professional,6,49
